ESP	CEC	WATER.CAPACITY	BULK.DENSITY	CARBON	SATURATION	Conductivity	NITROGEN	pH	rfclassifier
3	94	11	1.5	0.5	45	2.67	0.2	5.97	class1
4	45	5	1.61	1.13	45	2.17	0.27	4.79	class2
3	76	5	1.5	1	76	1.09	0.2	4.89	class1
4	77	8	1.5	1.88	45	6.46	0.24	4.97	class1
4	68	14	1.48	0.5	45	0.3	0.1	4.99	class1
2	75	15	1.29	1.9	80	0.55	0.2	5.02	class1
3	75	14	1.3	1.9	64	0.3	0.2	5.49	class1
2	78	13	1.38	3.36	48	0.28	0.32	5.69	class1
3	57	10	1.49	1.85	38	0.2	0.3	5.76	class1
2	45	11	1.4	2.75	40	0.83	0.3	7.8	class1
1	55	11	1.6	1.2	37	0.1	0.4	7.9	class1
2	67	11	1.49	1.59	45	2.33	0.2	7.05	class1
2	66	10	1.76	2.1	45	0.4	0.2	7.05	class1
2	71	12	1.4	6	47	0.17	1.2	5.96	class1
2	49	12	1.4	7	48	0.17	0.9	5.76	class1
1	49	12	1.36	7	58	0.1	0.9	5.09	class1
1	86	15	1.33	9.58	42	0.4	0.85	4.69	class1
2	43	10	1.66	2.3	32	2.3	0.25	4.37	class1
2	84	14	1.24	14.5	26	0.29	1.45	4.59	class1
1	41	13	1.53	1.67	27	1.86	0.37	4.36	class1
1	63	14	1.41	7	22	0.19	0.65	4.32	class1
2	76	9	1.64	3.4	29	0.36	0.4	4.34	class1
2	18	8	1.37	11	60	0.09	1.1	4.79	class2
2	16	6	1.6	1	80	0.2	0.35	4.13	class2
2	16	9	1.72	1	80	0.25	0.25	4.62	class1
3	98	17	1.4	3	40	2.5	0.3	4.67	class2
4	16	7	1.47	1	45	0.15	0.43	4.38	class2
3	70	12	1.36	7.3	45	0.1	1.4	3.9	class1
4	16	6	1.56	1	45	0.14	0.3	4.25	class2
4	74	11	1.72	3.64	45	0.4	0.43	4.09	class1
2	45	15	1.35	8.7	39	0.19	1	4.14	class1
2	31	8	1.64	2.3	42	2.3	0.5	3.96	class2
4	36	10	1.4	3	46	1.1	0.4	3.95	class2
2	32	10	1.29	59	46	0.1	5.5	3.93	class2
2	36	14	1.39	3	46	3.06	0.4	4.09	class2
3	36	10	1.39	3	92	1	0.4	5.85	class1
3	36	10	1.4	3	95	0.86	0.4	4.3	class2
3	50	9	1.39	8.5	94	0.15	1.2	4	class1
3	58	11	1.36	10.98	100	0.21	1.23	4	class1
3	85	11	1.19	18	100	0.1	1.9	4.6	class1
1	41	10	1.32	31.4	21	0.1	3.28	4.2	class1
2	46	10	1.28	6.09	35	0.17	0.75	3.76	class1
2	87	10	1.32	12.75	16	0.11	1.83	4.42	class1
2	48	12	1.39	4.68	47	0.17	0.62	4.37	class1
3	45	10	1.38	5.8	29	0.11	0.7	4.2	class1
2	19	7	1.43	7	80	0.06	0.8	4.4	class2
2	84	9	1.39	9.02	100	0.15	1.7	4.34	class1
2	66	9	1.64	4.6	100	0.36	0.51	4.3	class1
2	42	13	1.25	4.5	100	24.05	0.39	4.9	class2
2	66	5	1.5	1.5	100	1.09	0.2	4.43	class1
3	62	17	1.48	2	64	3.44	0.3	4.01	class2
2	62	14	1.4	2	84	1.92	0.3	3.95	class1
6	66	8	1.5	1.5	98	6.46	0.2	4.36	class1
3	53	14	1.25	4.2	100	24.08	0.81	5.18	class2
4	55	13	1.25	7.07	100	22.45	0.88	5.11	class2
17	120	12	1.25	0.3	96	15.7	0.93	6.75	class2
39	120	14	1.25	0.3	100	15.7	0.2	5.63	class1
34	56	10	1.29	17	100	0.1	2	4.69	class2
45	21	9	1.33	20	100	0.1	1.55	4.67	class2
43	60	11	1.58	3.5	100	0.49	0.4	4.53	class2
2	52	12	1.5	3.97	90	0.08	0.47	4.57	class1
2	35	14	1.41	3.9	98	0.19	0.4	4.34	class2
2	64	11	1.59	2	100	0.25	0.4	4.51	class1
2	80	12	1.4	3	90	0.17	0.5	4.3	class1
3	63	11	1.59	2.4	93	0.25	0.4	4.3	class1
2	42	11	1.59	3	39	0.25	0.2	5.75	class1
3	74	14	1.5	5	43	0.1	0.5	5.5	class1
4	44	14	1.27	3.97	46	0.18	0.4	7.88	class1
2	35	6	1.23	5.18	46	0.1	0.63	7.72	class1
2	92	14	1.17	4.3	46	1.82	0.5	7.6	class1
3	71	14	1.38	3.5	92	0.31	0.43	7.69	class1
3	68	10	1.44	2.79	95	0.14	0.4	7.44	class1
3	62	10	1.45	2.78	94	0.27	0.35	7.32	class1
3	62	10	1.45	2.5	100	0.27	0.5	7.81	class1
3	56	14	1.42	4.25	100	0.32	0.5	7.48	class1
2	15	6	1.52	4	47	0.1	0.7	7.29	class1
2	16	7	1.45	6	20	0.05	0.7	8.14	class2
4	32	9	1.52	1.4	22	0.1	0.2	7.72	class1
4	35	14	1.17	18	28	0.1	2	7.6	class1
