O3	PM10	NO2	BA_P	PM2.5	chiextract
120.3	47.8	36.1	1.21	16.8	class2
107.7	39.3	45.4	0.81	14.8	class2
110.6	39	26.4	0.96	16.7	class2
104.5	42.4	28.6	0.81	15.9	class2
108.7	42	27.8	0.64	14.8	class2
120.4	46	31.3	0.65	15.3	class2
118.4	39	30.3	2.49	12.6	class2
121.3	33.8	49.7	0.95	15.9	class2
119.5	33.2	53.3	0.5	21.3	class2
105.5	33.8	32.3	0.5	14.8	class2
111.7	36	25.6	0.39	16.8	class2
117.7	45.8	22.9	0.21	14.2	class2
115.8	56.4	26.9	0.29	18.3	class2
117.3	50	47.1	0.16	16.7	class2
129.5	52	32.5	0.09	17.3	class2
113.8	46.5	31.1	0.12	18.1	class2
87.7	44.6	34	0.19	16.9	class1
90.8	38	37.4	0.26	17.7	class2
97.4	44.4	42.2	2.31	17	class2
85.1	50.3	23.4	2.7	15.3	class1
86.1	45.2	20.7	5.76	14.6	class1
99.1	40	27.4	0.03	14.1	class2
97.3	45.9	28.9	2.06	17.2	class1
100.3	49.8	29.5	0.18	14.7	class2
84.9	47.3	15.1	0.2	22.7	class1
91	47	53.6	0.26	17.6	class2
87.9	49.4	38.6	0.15	13.1	class1
84.6	47.1	33.2	0.31	13.1	class1
102	40.8	30.5	0.33	13.8	class2
118	48.2	11.2	1.12	13.4	class2
124	46.2	30	0.87	15	class2
116.1	42.5	28	1.21	11.9	class2
111.1	42.7	40.5	0.97	16.9	class2
125.6	49.7	16.5	1.68	16.7	class2
107.6	44.9	28.4	1.22	18.9	class2
121.6	47.7	25.9	0.61	11.2	class2
102.7	50.7	28.9	1.5	13.5	class2
114.4	45.6	38.1	1.58	27.9	class2
117.8	50.8	35.8	1.61	37.3	class2
130.9	48.3	34.3	0.69	28	class2
123.4	44.9	26.6	1.49	39.2	class2
118.6	46.3	30.8	4.67	24.7	class2
151.2	45.6	30.4	3.28	24.1	class2
107.2	49.7	40.6	0.9	21.7	class2
111.5	49.2	48.1	1.11	17.6	class2
106.7	49.8	24.8	0.73	17	class2
107.4	39.9	27.2	2.08	14.8	class2
106.5	50.9	27.9	0.77	15.5	class2
101.3	48.7	35.1	0.46	12.6	class2
96.1	49.3	26.8	0.8	17.6	class1
110.3	40.8	31.5	0.51	19.3	class2
145.7	43.5	44.7	0.47	18.5	class2
109.1	77.9	49.8	0.36	21.7	class2
113.8	84.7	39.7	0.45	19.8	class2
106.6	79.8	11.5	0.35	20.6	class2
113.2	72.3	25.5	0.38	15.8	class2
119.3	67	18.7	0.32	21.9	class2
112	71.3	26	0.41	24.7	class2
86.7	78	20.6	0.22	19.6	class1
118	94	8.5	0.24	19	class2
121.5	90	20	0.39	11.2	class2
98.1	123.3	36.4	0.39	27.3	class2
124.8	72.5	36.6	0.38	30.3	class2
103.8	104.3	28.5	0.38	23.2	class2
119.2	62.6	23.3	0.38	18.3	class2
113.7	81.9	45.3	0.4	21.6	class2
112.8	45.8	27.4	0.45	15.1	class2
116.4	47.1	13.4	0.48	13.6	class2
116.1	87.8	20.1	0.57	15.2	class2
110	104	46.3	0.64	13.4	class2
103.9	54	35.2	0.34	14.9	class2
84.8	88	22.4	0.51	15.1	class1
102.8	106.6	31	0.53	16.9	class2
109.2	66.7	32.2	0.58	17	class2
110.7	116.2	34	0.51	18.3	class2
114.7	67.3	24.4	0.43	15.7	class2
119.1	75.7	26.8	0.31	20.1	class2
112	33.2	27.8	0.35	17.7	class2
119.8	43.2	43.4	0.41	11.7	class2
109.5	35.6	41.2	0.26	13	class2
120.5	31.6	59	0.42	11.7	class2
109.1	33.6	41.7	0.18	14.2	class2
105.8	36.1	31.7	0.27	12.7	class2
109.4	35.5	26.3	0.19	10.9	class2
114.2	34.3	34.2	0.37	15.6	class2
111.4	39.6	35.6	0.31	15.1	class2
104.5	37	32.5	0.47	12.3	class2
105.4	27.9	30.8	0.19	20.7	class2
110.3	42.9	28.1	0.21	13.5	class2
116.7	45.2	23.9	0.19	18.9	class2
117.8	45.3	57.8	0.16	12.6	class2
118.8	67	21.4	0.16	15	class2
115.1	50.9	33.2	0.21	16.5	class2
105.3	34.7	36.9	0.19	12.6	class2
120.9	54.3	28.2	0.48	14.4	class2
112.7	34.5	42.3	0.2	10	class2
112	55.9	24.4	0.21	14.7	class2
116.5	50.2	23.3	0.17	18.3	class2
113.4	50	32.7	0.19	12.7	class2
117.6	44.6	39.3	0.36	13.7	class2
127.2	51.9	39.1	0.3	15.1	class2
120.5	44	43.5	0.41	13.5	class2
117.1	48.1	18.1	0.19	13.8	class2
107.8	51.8	16.7	0.41	15.7	class2
111.1	42.9	18.5	0.59	16.5	class2
110.1	58.4	18.7	1.28	16.8	class2
81	40	24.5	0.55	16	class1
110.1	49	15.2	0.82	15.7	class2
111.4	50	30.5	0.69	12.5	class2
113.7	46.7	24.2	0.72	13.2	class2
106.2	40.5	24.1	0.74	18.4	class2
105.7	53.6	21	0.24	11.2	class2
109.9	51.4	23.2	0.31	11.2	class2
115.2	45	26.8	0.24	12.5	class2
124	34.6	15.1	2.62	10.3	class2
105.7	43.7	16.6	0.32	13.8	class2
96.2	43.6	18.9	0.16	11.9	class1
100	60.2	20.8	0.17	14.8	class1
93.9	44	23	0.11	13.8	class1
112.6	46.1	25.7	0.15	12.8	class2
96.9	43	43.1	0.38	15.8	class2
110.4	42.5	25.2	0.06	16.5	class2
102.3	39.3	25.7	0.1	16.4	class2
110.7	41.5	20.4	0.07	17.1	class2
96.2	77	21.8	0.2	17.2	class1
113.4	86.5	35.8	0.17	14.9	class2
107.4	96	14.8	0.14	14.8	class2
109.3	86	25.5	0.13	16.5	class2
90.6	82.5	15.9	0.23	13.4	class1
95	71	18.6	0.1	15.4	class1
93.4	90.3	14.1	0.04	19	class1
94.2	49.4	33.4	0.11	15.2	class1
97.9	60	26	0.1	14.4	class1
100.9	58	46.7	0.09	13.9	class2
88.6	41.5	15.6	0.08	14.7	class1
99.1	53.1	15.9	0.1	12	class1
75	49.3	45	0.11	13.1	class1
105.4	34.6	14.1	0.25	13.6	class2
102.4	41.9	32.4	0.55	12.5	class2
105.5	47.4	28.6	0.57	11.8	class2
105.5	35.2	27.3	0.22	11.7	class2
100.5	42	27.6	0.26	13.9	class2
101.5	30.6	14.3	0.11	13	class2
95.9	42.4	52.3	0.27	17.5	class2
100.8	42.8	51.8	0.15	13.2	class2
105.5	37.8	55.6	0.08	16	class2
100.5	31.7	42.5	0.34	16.1	class2
94.6	40.2	19.3	0.39	17.5	class1
94.7	39.3	60.5	0.38	15.3	class2
96.9	40.6	28	0.28	14.9	class1
97.4	34.8	50.1	0.18	15.5	class2
103.8	39.7	30.8	0.27	14.8	class2
102.3	47.8	27.4	0.61	16.6	class2
105.6	45.9	33.1	0.28	13	class2
100.9	44.7	29.3	0.22	14.8	class2
98.1	42.6	26.9	0.44	14.8	class1
99.4	39	25.3	0.45	11.4	class1
109.6	44.6	25.1	0.46	12.1	class2
111.1	37.4	25.8	0.11	9.3	class2
113.5	32	24.3	0.08	7.4	class1
103.1	32.6	14.6	0.13	8.6	class1
88.9	33.1	22.3	0.29	8.8	class1
105.8	34.4	52.1	0.14	14	class2
99.3	35	22.9	0.12	20.5	class1
93.5	34.4	19.5	0.22	19.7	class1
110.5	34.6	51.4	0.58	16.2	class2
91	33.2	65.2	0.11	10.1	class2
82.9	33.3	20.9	0.23	11.2	class1
112.2	32	91.3	0.2	18.5	class2
114.7	30.4	61	0.25	14.2	class2
103.3	35.8	89.7	0.32	10.9	class2
108.2	35.7	65.4	0.23	19.5	class2
106.8	27.8	61.6	0.28	12.6	class2
112.2	26.5	78.7	0.88	11.7	class2
113	36.8	32.1	0.23	10	class2
110	36.8	33.4	2.04	11.5	class2
81.2	32.3	25.3	1.16	11.1	class1
107.9	31.5	24.2	2.84	12.2	class2
104.5	29.5	33.7	1.39	10.2	class2
105.4	29.6	19.4	1.36	10.9	class2
105	42.9	31.7	1.32	10.8	class2
70.8	41	60.5	1.04	18.5	class2
97.8	33.2	30.9	0.16	14.2	class2
99.2	31.8	35.4	0.2	12.5	class2
91.8	48.1	33.6	0.18	12.5	class1
93.7	46.9	34.6	0.13	11.3	class1
