S.No,PM10,PM2.5,O3,NO2,BA_P,SO2
1,47.8,16.8,120.3,36.1,1.21,23.3
2,39.3,14.8,107.7,45.4,0.81,4.9
3,39.0,16.7,110.6,26.4,0.96,9.3
4,42.4,15.9,104.5,28.6,0.81,6.1
5,42.0,14.8,108.7,27.8,0.64,5.7
6,46.0,15.3,120.4,31.3,0.65,7.5
7,39.0,12.6,118.4,30.3,2.49,11.4
8,33.8,15.9,121.3,49.7,0.95,12.0
9,33.2,21.3,119.5,53.3,0.50,6.4
10,33.8,14.8,105.5,32.3,0.50,12.2
11,36.0,16.8,111.7,25.6,0.39,13.6
12,45.8,14.2,117.7,22.9,0.21,10.4
13,56.4,18.3,115.8,26.9,0.29,47.1
14,50.0,16.7,117.3,47.1,0.16,10.8
15,52.0,17.3,129.5,32.5,0.09,12.1
16,46.5,18.1,113.8,31.1,0.12,10.6
17,44.6,16.9,87.7,34.0,0.19,4.6
18,38.0,17.7,90.8,37.4,0.26,10.8
19,44.4,17.0,97.4,42.2,2.31,8.6
20,50.3,15.3,85.1,23.4,2.70,10.0
21,45.2,14.6,86.1,20.7,5.76,6.5
22,40.0,14.1,99.1,27.4,0.03,11.3
23,45.9,17.2,97.3,28.9,2.06,9.5
24,49.8,14.7,100.3,29.5,0.18,9.9
25,47.3,22.7,84.9,15.1,0.20,8.4
26,47.0,17.6,91.0,53.6,0.26,19.4
27,49.4,13.1,87.9,38.6,0.15,18.4
28,47.1,13.1,84.6,33.2,0.31,29.7
29,40.8,13.8,102.0,30.5,0.33,49.7
30,48.2,13.4,118.0,11.2,1.12,68.2
31,46.2,15.0,124.0,30.0,0.87,28.4
32,42.5,11.9,116.1,28.0,1.21,116.8
33,42.7,16.9,111.1,40.5,0.97,21.0
34,49.7,16.7,125.6,16.5,1.68,51.5
35,44.9,18.9,107.6,28.4,1.22,21.9
36,47.7,11.2,121.6,25.9,0.61,21.7
37,50.7,13.5,102.7,28.9,1.50,50.6
38,45.6,27.9,114.4,38.1,1.58,60.2
39,50.8,37.3,117.8,35.8,1.61,47.7
40,48.3,28.0,130.9,34.3,0.69,47.9
41,44.9,39.2,123.4,26.6,1.49,85.9
42,46.3,24.7,118.6,30.8,4.67,56.8
43,45.6,24.1,151.2,30.4,3.28,35.8
44,49.7,21.7,107.2,40.6,0.90,23.3
45,49.2,17.6,111.5,48.1,1.11,27.2
46,49.8,17.0,106.7,24.8,0.73,7.4
47,39.9,14.8,107.4,27.2,2.08,10.3
48,50.9,15.5,106.5,27.9,0.77,5.6
49,48.7,12.6,101.3,35.1,0.46,8.3
50,49.3,17.6,96.1,26.8,0.80,7.1
51,40.8,19.3,110.3,31.5,0.51,24.8
52,43.5,18.5,145.7,44.7,0.47,20.1
53,77.9,21.7,109.1,49.8,0.36,22.7
54,84.7,19.8,113.8,39.7,0.45,19.5
55,79.8,20.6,106.6,11.5,0.35,16.2
56,72.3,15.8,113.2,25.5,0.38,24.9
57,67.0,21.9,119.3,18.7,0.32,25.3
58,71.3,24.7,112.0,26.0,0.41,10.5
59,78.0,19.6,86.7,20.6,0.22,16.5
60,94.0,19.0,118.0,8.5,0.24,18.3
61,90.0,11.2,121.5,20.0,0.39,20.7
62,123.3,27.3,98.1,36.4,0.39,29.2
63,72.5,30.3,124.8,36.6,0.38,22.1
64,104.3,23.2,103.8,28.5,0.38,33.4
65,62.6,18.3,119.2,23.3,0.38,24.0
66,81.9,21.6,113.7,45.3,0.40,27.8
67,45.8,15.1,112.8,27.4,0.45,44.4
68,47.1,13.6,116.4,13.4,0.48,35.6
69,87.8,15.2,116.1,20.1,0.57,29.3
70,104.0,13.4,110.0,46.3,0.64,39.3
71,54.0,14.9,103.9,35.2,0.34,36.7
72,88.0,15.1,84.8,22.4,0.51,23.7
73,106.6,16.9,102.8,31.0,0.53,8.2
74,66.7,17.0,109.2,32.2,0.58,10.4
75,116.2,18.3,110.7,34.0,0.51,9.7
76,67.3,15.7,114.7,24.4,0.43,8.5
77,75.7,20.1,119.1,26.8,0.31,8.5
78,33.2,17.7,112.0,27.8,0.35,8.2
79,43.2,11.7,119.8,43.4,0.41,4.4
80,35.6,13.0,109.5,41.2,0.26,4.7
81,31.6,11.7,120.5,59.0,0.42,4.1
82,33.6,14.2,109.1,41.7,0.18,8.5
83,36.1,12.7,105.8,31.7,0.27,3.9
84,35.5,10.9,109.4,26.3,0.19,11.1
85,34.3,15.6,114.2,34.2,0.37,15.4
86,39.6,15.1,111.4,35.6,0.31,11.0
87,37.0,12.3,104.5,32.5,0.47,10.3
88,27.9,20.7,105.4,30.8,0.19,10.0
89,42.9,13.5,110.3,28.1,0.21,3.9
90,45.2,18.9,116.7,23.9,0.19,6.0
91,45.3,12.6,117.8,57.8,0.16,5.9
92,67.0,15.0,118.8,21.4,0.16,8.9
93,50.9,16.5,115.1,33.2,0.21,5.3
94,34.7,12.6,105.3,36.9,0.19,12.1
95,54.3,14.4,120.9,28.2,0.48,4.4
96,34.5,10.0,112.7,42.3,0.20,5.3
97,55.9,14.7,112.0,24.4,0.21,4.2
98,50.2,18.3,116.5,23.3,0.17,9.5
99,50.0,12.7,113.4,32.7,0.19,4.5
100,44.6,13.7,117.6,39.3,0.36,4.6
101,51.9,15.1,127.2,39.1,0.30,16.6
102,44.0,13.5,120.5,43.5,0.41,14.7
103,48.1,13.8,117.1,18.1,0.19,17.3
104,51.8,15.7,107.8,16.7,0.41,6.6
105,42.9,16.5,111.1,18.5,0.59,7.5
106,58.4,16.8,110.1,18.7,1.28,4.7
107,40.0,16.0,81.0,24.5,0.55,4.9
108,49.0,15.7,110.1,15.2,0.82,7.7
109,50.0,12.5,111.4,30.5,0.69,11.2
110,46.7,13.2,113.7,24.2,0.72,13.8
111,40.5,18.4,106.2,24.1,0.74,6.4
112,53.6,11.2,105.7,21.0,0.24,5.7
113,51.4,11.2,109.9,23.2,0.31,9.5
114,45.0,12.5,115.2,26.8,0.24,5.4
115,34.6,10.3,124.0,15.1,2.62,7.4
116,43.7,13.8,105.7,16.6,0.32,8.0
117,43.6,11.9,96.2,18.9,0.16,7.0
118,60.2,14.8,100.0,20.8,0.17,6.1
119,44.0,13.8,93.9,23.0,0.11,5.5
120,46.1,12.8,112.6,25.7,0.15,6.3
121,43.0,15.8,96.9,43.1,0.38,5.3
122,42.5,16.5,110.4,25.2,0.06,4.7
123,39.3,16.4,102.3,25.7,0.10,9.3
124,41.5,17.1,110.7,20.4,0.07,8.6
125,77.0,17.2,96.2,21.8,0.20,17.1
126,86.5,14.9,113.4,35.8,0.17,8.3
127,96.0,14.8,107.4,14.8,0.14,17.6
128,86.0,16.5,109.3,25.5,0.13,9.4
129,82.5,13.4,90.6,15.9,0.23,5.8
130,71.0,15.4,95.0,18.6,0.10,9.7
131,90.3,19.0,93.4,14.1,0.04,9.3
132,49.4,15.2,94.2,33.4,0.11,5.5
133,60.0,14.4,97.9,26.0,0.10,6.2
134,58.0,13.9,100.9,46.7,0.09,4.0
135,41.5,14.7,88.6,15.6,0.08,6.5
136,53.1,12.0,99.1,15.9,0.10,3.9
137,49.3,13.1,75.0,45.0,0.11,5.5
138,34.6,13.6,105.4,14.1,0.25,12.9
139,41.9,12.5,102.4,32.4,0.55,18.3
140,47.4,11.8,105.5,28.6,0.57,11.5
141,35.2,11.7,105.5,27.3,0.22,10.6
142,42.0,13.9,100.5,27.6,0.26,9.9
143,30.6,13.0,101.5,14.3,0.11,17.8
144,42.4,17.5,95.9,52.3,0.27,8.3
145,42.8,13.2,100.8,51.8,0.15,3.2
146,37.8,16.0,105.5,55.6,0.08,8.2
147,31.7,16.1,100.5,42.5,0.34,8.9
148,40.2,17.5,94.6,19.3,0.39,9.2
149,39.3,15.3,94.7,60.5,0.38,6.7
150,40.6,14.9,96.9,28.0,0.28,30.2
151,34.8,15.5,97.4,50.1,0.18,5.9
152,39.7,14.8,103.8,30.8,0.27,6.9
153,47.8,16.6,102.3,27.4,0.61,38.9
154,45.9,13.0,105.6,33.1,0.28,6.4
155,44.7,14.8,100.9,29.3,0.22,6.0
156,42.6,14.8,98.1,26.9,0.44,12.0
157,39.0,11.4,99.4,25.3,0.45,72.8
158,44.6,12.1,109.6,25.1,0.46,54.7
159,37.4,9.3,111.1,25.8,0.11,22.8
160,32.0,7.4,113.5,24.3,0.08,43.2
161,32.6,8.6,103.1,14.6,0.13,23.9
162,33.1,8.8,88.9,22.3,0.29,4.4
163,34.4,14.0,105.8,52.1,0.14,10.0
164,35.0,20.5,99.3,22.9,0.12,9.5
165,34.4,19.7,93.5,19.5,0.22,18.2
166,34.6,16.2,110.5,51.4,0.58,14.3
167,33.2,10.1,91.0,65.2,0.11,11.3
168,33.3,11.2,82.9,20.9,0.23,30.5
169,32.0,18.5,112.2,91.3,0.20,6.6
170,30.4,14.2,114.7,61.0,0.25,5.2
171,35.8,10.9,103.3,89.7,0.32,4.5
172,35.7,19.5,108.2,65.4,0.23,15.1
173,27.8,12.6,106.8,61.6,0.28,6.9
174,26.5,11.7,112.2,78.7,0.88,10.3
175,36.8,10.0,113.0,32.1,0.23,6.9
176,36.8,11.5,110.0,33.4,2.04,7.6
177,32.3,11.1,81.2,25.3,1.16,14.6
178,31.5,12.2,107.9,24.2,2.84,5.7
179,29.5,10.2,104.5,33.7,1.39,8.9
180,29.6,10.9,105.4,19.4,1.36,11.9
181,42.9,10.8,105.0,31.7,1.32,9.1
182,41.0,18.5,70.8,60.5,1.04,7.2
183,33.2,14.2,97.8,30.9,0.16,93.1
184,31.8,12.5,99.2,35.4,0.20,8.3
185,48.1,12.5,91.8,33.6,0.18,12.0
186,46.9,11.3,93.7,34.6,0.13,10.1
187,58.8,13.8,84.3,30.9,0.65,6.5
