pH	CEC	ESP	Conductivity	NITROGEN	rfeextract
5.97	94	3	2.67	0.2	class1
4.79	45	4	2.17	0.27	class1
4.89	76	3	1.09	0.2	class1
4.97	77	4	6.46	0.24	class1
4.99	68	4	0.3	0.1	class1
5.02	75	2	0.55	0.2	class1
5.49	75	3	0.3	0.2	class1
5.69	78	2	0.28	0.32	class1
5.76	57	3	0.2	0.3	class1
7.8	45	2	0.83	0.3	class1
7.9	55	1	0.1	0.4	class1
7.05	67	2	2.33	0.2	class1
7.05	66	2	0.4	0.2	class1
5.96	71	2	0.17	1.2	class1
5.76	49	2	0.17	0.9	class1
5.09	49	1	0.1	0.9	class1
4.69	86	1	0.4	0.85	class1
4.37	43	2	2.3	0.25	class1
4.59	84	2	0.29	1.45	class1
4.36	41	1	1.86	0.37	class1
4.32	63	1	0.19	0.65	class1
4.34	76	2	0.36	0.4	class1
4.79	18	2	0.09	1.1	class2
4.13	16	2	0.2	0.35	class2
4.62	16	2	0.25	0.25	class2
4.67	98	3	2.5	0.3	class1
4.38	16	4	0.15	0.43	class2
3.9	70	3	0.1	1.4	class1
4.25	16	4	0.14	0.3	class2
4.09	74	4	0.4	0.43	class1
4.14	45	2	0.19	1	class1
3.96	31	2	2.3	0.5	class2
3.95	36	4	1.1	0.4	class2
3.93	32	2	0.1	5.5	class2
4.09	36	2	3.06	0.4	class2
5.85	36	3	1	0.4	class1
4.3	36	3	0.86	0.4	class2
4	50	3	0.15	1.2	class1
4	58	3	0.21	1.23	class1
4.6	85	3	0.1	1.9	class1
4.2	41	1	0.1	3.28	class2
3.76	46	2	0.17	0.75	class1
4.42	87	2	0.11	1.83	class1
4.37	48	2	0.17	0.62	class1
4.2	45	3	0.11	0.7	class1
4.4	19	2	0.06	0.8	class2
4.34	84	2	0.15	1.7	class1
4.3	66	2	0.36	0.51	class1
4.9	42	2	24.05	0.39	class2
4.43	66	2	1.09	0.2	class1
4.01	62	3	3.44	0.3	class1
3.95	62	2	1.92	0.3	class1
4.36	66	6	6.46	0.2	class1
5.18	53	3	24.08	0.81	class2
5.11	55	4	22.45	0.88	class2
6.75	120	17	15.7	0.93	class2
5.63	120	39	15.7	0.2	class1
4.69	56	34	0.1	2	class2
4.67	21	45	0.1	1.55	class2
4.53	60	43	0.49	0.4	class2
4.57	52	2	0.08	0.47	class1
4.34	35	2	0.19	0.4	class2
4.51	64	2	0.25	0.4	class1
4.3	80	2	0.17	0.5	class1
4.3	63	3	0.25	0.4	class1
5.75	42	2	0.25	0.2	class1
5.5	74	3	0.1	0.5	class1
7.88	44	4	0.18	0.4	class1
7.72	35	2	0.1	0.63	class1
7.6	92	2	1.82	0.5	class1
7.69	71	3	0.31	0.43	class1
7.44	68	3	0.14	0.4	class1
7.32	62	3	0.27	0.35	class1
7.81	62	3	0.27	0.5	class1
7.48	56	3	0.32	0.5	class1
7.29	15	2	0.1	0.7	class1
8.14	16	2	0.05	0.7	class1
7.72	32	4	0.1	0.2	class1
7.6	35	4	0.1	2	class1
7.87	30	4	0.1	0.43	class1
7.56	59	3	0.28	0.38	class1
7.25	54	4	0.16	0.3	class1
7.29	54	3	0.16	0.3	class1
7.11	54	4	0.16	0.3	class1
7.06	42	4	0.22	0.22	class1
7.29	65	2	0.36	0.6	class1
6.97	13	2	1.92	0.4	class1
6.89	140	2	0.1	0.2	class1
7.5	44	2	4.8	0.3	class1
7.24	140	4	0.1	0.2	class1
7.02	85	4	0.2	1	class1
7.9	65	4	0.21	0.6	class1
8.3	16	3	0.06	1.82	class1
5.16	52	4	0.41	0.4	class1
5.77	38	3	0.1	1.38	class1
6.22	35	4	0.09	1.05	class1
4.76	77	4	0.08	1.35	class1
6.07	72	2	0.2	0.2	class1
6.93	89	2	2.07	0.6	class1
4.72	47	2	0.31	1.1	class1
4.7	47	2	0.2	1.1	class1
8.05	15	2	0.08	0.2	class1
7.65	14	3	0.1	0.2	class1
7.65	38	3	0.09	0.4	class1
7.65	63	3	0.31	0.5	class1
7.65	14	3	0.1	0.2	class1
7.65	63	3	0.16	0.6	class1
7.65	89	3	0.1	0.62	class1
7.65	10	3	0.1	1.27	class1
7.65	132	2	0.1	0.35	class1
7.65	98	2	0.2	0.27	class1
7.65	9	2	0.1	0.82	class1
7.65	51	2	0.17	0.4	class1
7.65	51	4	0.17	0.4	class1
7.65	51	2	0.17	0.4	class1
7.65	-1	2	0.2	0.2	class1
7.65	89	2	1.79	0.91	class1
7.65	41	2	0.1	0.5	class1
7.65	9	2	0.1	0.55	class1
7.65	84	2	0.3	0.4	class1
7.65	12	2	0.03	0.42	class1
7.65	13	2	0.1	0.97	class1
7.65	78	3	0.1	1.06	class1
