pH,CEC,BULK DENSITY,WATER CAPACITY,CARBON,NITROGEN,Conductivity,SATURATION,ESP,PHOSPHOROUS
5.97,94.00,1.50,11.00,0.50,0.20,2.67,45,3,0.74
4.79,45.00,1.61,5.00,1.13,0.27,2.17,45,4,0.39
4.89,76.00,1.50,5.00,1.00,0.20,1.09,76,3,10.6
4.97,77.00,1.50,8.00,1.88,0.24,6.46,45,4,17.6
4.99,68.00,1.48,14.00,0.50,0.10,0.30,45,4,9.6
5.02,75.00,1.29,15.00,1.90,0.20,0.55,80,2,14.19354839
5.49,75.00,1.30,14.00,1.90,0.20,0.30,64,3,11.93548387
5.69,78.00,1.38,13.00,3.36,0.32,0.28,48,2,12.25806452
5.76,57.00,1.49,10.00,1.85,0.30,0.20,38,3,9.35483871
7.8,45.00,1.40,11.00,2.75,0.30,0.83,40,2,11.93548387
7.9,55.00,1.60,11.00,1.20,0.40,0.10,37,1,9.032258065
7.05,67.00,1.49,11.00,1.59,0.20,2.33,45,2,11.61290323
7.05,66.00,1.76,10.00,2.10,0.20,0.40,45,2,8.709677419
5.96,71.00,1.40,12.00,6.00,1.20,0.17,47,2,10
5.76,49.00,1.40,12.00,7.00,0.90,0.17,48,2,12.58064516
5.09,49.00,1.36,12.00,7.00,0.90,0.10,58,1,11.29032258
4.69,86.00,1.33,15.00,9.58,0.85,0.40,42,1,12.25806452
4.37,43.00,1.66,10.00,2.30,0.25,2.30,32,2,0.83
4.59,84.00,1.24,14.00,14.50,1.45,0.29,26,2,0.22
4.36,41.00,1.53,13.00,1.67,0.37,1.86,27,1,0.32
4.32,63.00,1.41,14.00,7.00,0.65,0.19,22,1,0.2
4.34,76.00,1.64,9.00,3.40,0.40,0.36,29,2,0.31
4.79,18.00,1.37,8.00,11.00,1.10,0.09,60,2,0.35
4.13,16.00,1.60,6.00,1.00,0.35,0.20,80,2,0.18
4.62,16.00,1.72,9.00,1.00,0.25,0.25,80,2,0.28
4.67,98.00,1.40,17.00,3.00,0.30,2.50,40,3,0.39
4.38,16.00,1.47,7.00,1.00,0.43,0.15,45,4,0.18
3.9,70.00,1.36,12.00,7.30,1.40,0.10,45,3,0.27
4.25,16.00,1.56,6.00,1.00,0.30,0.14,45,4,0.29
4.09,74.00,1.72,11.00,3.64,0.43,0.40,45,4,0.29
4.14,45.00,1.35,15.00,8.70,1.00,0.19,39,2,0.39
3.96,31.00,1.64,8.00,2.30,0.50,2.30,42,2,0.39
3.95,36.00,1.40,10.00,3.00,0.40,1.10,46,4,0.26
3.93,32.00,1.29,10.00,59.00,5.50,0.10,46,2,0.24
4.09,36.00,1.39,14.00,3.00,0.40,3.06,46,2,0.35
5.85,36.00,1.39,10.00,3.00,0.40,1.00,92,3,0.28
4.3,36.00,1.40,10.00,3.00,0.40,0.86,95,3,0.26
4,50.00,1.39,9.00,8.50,1.20,0.15,94,3,0.59
4,58.00,1.36,11.00,10.98,1.23,0.21,100,3,0.32
4.6,85.00,1.19,11.00,18.00,1.90,0.10,100,3,0.27
4.2,41.00,1.32,10.00,31.40,3.28,0.10,21,1,0.49
3.76,46.00,1.28,10.00,6.09,0.75,0.17,35,2,0.37
4.42,87.00,1.32,10.00,12.75,1.83,0.11,16,2,0.33
4.37,48.00,1.39,12.00,4.68,0.62,0.17,47,2,0.28
4.2,45.00,1.38,10.00,5.80,0.70,0.11,29,3,0.36
4.4,19.00,1.43,7.00,7.00,0.80,0.06,80,2,0.37
4.34,84.00,1.39,9.00,9.02,1.70,0.15,100,2,0.38
4.3,66.00,1.64,9.00,4.60,0.51,0.36,100,2,0.35
4.9,42.00,1.25,13.00,4.50,0.39,24.05,100,2,0.29
4.43,66.00,1.50,5.00,1.50,0.20,1.09,100,2,0.35
4.01,62.00,1.48,17.00,2.00,0.30,3.44,64,3,0.25
3.95,62.00,1.40,14.00,2.00,0.30,1.92,84,2,0.25
4.36,66.00,1.50,8.00,1.50,0.20,6.46,98,6,0.058064516
5.18,53.00,1.25,14.00,4.20,0.81,24.08,100,3,0.080645161
5.11,55.00,1.25,13.00,7.07,0.88,22.45,100,4,0.451612903
6.75,120.00,1.25,12.00,0.30,0.93,15.70,96,17,0.051612903
5.63,120.00,1.25,14.00,0.30,0.20,15.70,100,39,0.048387097
4.69,56.00,1.29,10.00,17.00,2.00,0.10,100,34,0.34
4.67,21.00,1.33,9.00,20.00,1.55,0.10,100,45,0.34
4.53,60.00,1.58,11.00,3.50,0.40,0.49,100,43,0.4
4.57,52.00,1.50,12.00,3.97,0.47,0.08,90,2,0.4
4.34,35.00,1.41,14.00,3.90,0.40,0.19,98,2,0.6
4.51,64.00,1.59,11.00,2.00,0.40,0.25,100,2,0.37
4.3,80.00,1.40,12.00,3.00,0.50,0.17,90,2,0.26
4.3,63.00,1.59,11.00,2.40,0.40,0.25,93,3,0.23
5.75,42.00,1.59,11.00,3.00,0.20,0.25,39,2,0.34
5.5,74.00,1.50,14.00,5.00,0.50,0.10,43,3,0.29
7.88,44.00,1.27,14.00,3.97,0.40,0.18,46,4,0.580645161
7.72,35.00,1.23,6.00,5.18,0.63,0.10,46,2,0.12
7.6,92.00,1.17,14.00,4.30,0.50,1.82,46,2,0.22
7.69,71.00,1.38,14.00,3.50,0.43,0.31,92,3,0.29
7.44,68.00,1.44,10.00,2.79,0.40,0.14,95,3,0.2
7.32,62.00,1.45,10.00,2.78,0.35,0.27,94,3,0.23
7.81,62.00,1.45,10.00,2.50,0.50,0.27,100,3,0.34
7.48,56.00,1.42,14.00,4.25,0.50,0.32,100,3,1.09
7.29,15.00,1.52,6.00,4.00,0.70,0.10,47,2,0.07
8.14,16.00,1.45,7.00,6.00,0.70,0.05,20,2,0.22
7.72,32.00,1.52,9.00,1.40,0.20,0.10,22,4,0.65
7.6,35.00,1.17,14.00,18.00,2.00,0.10,28,4,1.02
7.87,30.00,1.50,9.00,5.75,0.43,0.10,26,4,1.36
7.56,59.00,1.45,10.00,1.44,0.38,0.28,45,3,0.99
7.25,54.00,1.40,13.00,2.30,0.30,0.16,45,4,0.79
7.29,54.00,1.40,13.00,2.30,0.30,0.16,45,3,0.13
7.11,54.00,1.40,13.00,2.30,0.30,0.16,45,4,0.11
7.06,42.00,1.45,10.00,3.20,0.22,0.22,45,4,0.15
7.29,65.00,1.26,17.00,6.50,0.60,0.36,28,2,0.1
6.97,13.00,1.40,14.00,2.00,0.40,1.92,14,2,0.05
6.89,140.00,1.38,11.00,1.50,0.20,0.10,47,2,0.13
7.5,44.00,1.65,10.00,3.00,0.30,4.80,20,2,0.3
7.24,140.00,1.37,10.00,1.50,0.20,0.10,22,4,0.24
7.02,85.00,1.42,10.00,7.00,1.00,0.20,28,4,0.37
7.9,65.00,1.35,16.00,6.50,0.60,0.21,26,4,0.13
8.3,16.00,1.30,10.00,15.04,1.82,0.06,45,3,0.15
5.16,52.00,1.40,12.00,3.55,0.40,0.41,45,4,0.27
5.77,38.00,1.20,11.00,11.10,1.38,0.10,45,3,0.07
6.22,35.00,1.33,10.00,7.92,1.05,0.09,45,4,0.03
4.76,77.00,1.12,13.00,12.10,1.35,0.08,45,4,0.07
6.07,72.00,1.50,12.00,1.00,0.20,0.20,28,2,1.035483871
6.93,89.00,1.20,13.00,5.00,0.60,2.07,14,2,1.074193548
4.72,47.00,1.44,10.00,8.00,1.10,0.31,40,2,0.03
4.7,47.00,1.42,10.00,8.00,1.10,0.20,40,2,0.42
8.05,15.00,1.38,7.00,3.00,0.20,0.08,24,2,0.39
7.65,14.00,1.41,6.00,3.00,0.20,0.10,29,3,3.32
7.65,38.00,1.20,3.00,2.50,0.40,0.09,30,3,0.08
7.65,63.00,1.38,10.00,3.80,0.50,0.31,92,3,2.3
7.65,14.00,1.42,6.00,3.00,0.20,0.10,95,3,1.1
7.65,63.00,1.37,12.00,4.00,0.60,0.16,94,3,0.27
7.65,89.00,1.32,10.00,5.20,0.62,0.10,100,3,0.47
7.65,10.00,1.46,6.00,11.25,1.27,0.10,100,3,0.29
7.65,132.00,1.39,13.00,2.70,0.35,0.10,69,2,0.55
7.65,98.00,1.57,10.00,2.03,0.27,0.20,40,2,0.16
7.65,9.00,1.20,5.00,6.23,0.82,0.10,39,2,0.4
7.65,51.00,1.39,12.00,2.80,0.40,0.17,45,2,0.28
7.65,51.00,1.39,12.00,2.80,0.40,0.17,63,4,0.27
7.65,51.00,1.39,12.00,2.80,0.40,0.17,54,2,0.24
7.65,-1.00,1.50,12.00,0.70,0.20,0.20,54,2,0.26
7.65,89.00,1.20,12.00,8.75,0.91,1.79,42,2,0.34
7.65,41.00,1.47,10.00,3.00,0.50,0.10,42,2,0.27
7.65,9.00,1.42,10.00,2.80,0.55,0.10,37,2,0.229032258
7.65,84.00,1.40,14.00,4.50,0.40,0.30,97,2,0.216129032
7.65,12.00,1.53,5.00,2.90,0.42,0.03,80,2,0.158064516
7.65,13.00,1.48,4.00,6.72,0.97,0.10,80,2,0.258064516
7.65,78.00,1.25,10.00,9.56,1.06,0.10,80,3,0.996774194
7.65,77.00,1.41,10.00,1.70,0.27,0.18,80,3,0.548387097
7.65,31.00,1.59,11.00,3.25,0.60,1.06,37,1,1.261290323
7.65,44.00,1.50,14.00,2.80,0.50,0.10,40,2,0.967741935
7.65,59.00,1.57,10.00,4.00,0.77,0.20,45,2,1.693548387
7.65,51.00,1.39,12.00,4.00,0.50,0.17,47,2,3.864516129
7.65,53.00,1.52,4.00,14.60,1.10,0.10,48,2,0.980645161
7.65,7.00,1.20,8.00,5.30,0.70,0.06,45,3,0.680645161
