DBO.P	SSV.E	DQO.E	SS.E	SSV.P	SS.P	COND.E	SSV.D	SED.D	SED.P	PH.D	SED.E	SS.D	DQO.D	PH.P	PH.E	DBO.E	COND.P	ZN.E	DBO.D	rfextract
206	69.1	451	194	61.8	220	1249	77.4	0.3	4	7.7	4.5	124	282	7.7	7.7	206	1219	2.5	111	class1
173	67	478	230	62.5	192	1410	71.2	0.4	5	7.7	5.5	104	412	8.1	7.9	189	1406	0.7	172	class1
162	57.4	329	188	63.6	132	1300	81.8	0.2	2	7.6	2.5	88	243	7.6	7.6	146	1324	3.5	109	class1
164	58.9	512	214	71.9	256	1605	88.6	0.4	5.5	7.7	5.5	70	320	7.7	7.8	177	1599	1.5	118	class1
275	61.1	447	252	57.4	216	1533	73.3	0.5	6.5	7.4	7	90	269	7.4	7.4	250	1501	1.2	138	class1
219	57	431	214	58.1	248	1591	65.9	0.4	5.5	7.5	7	88	376	7.5	7.6	182	1473	3	175	class1
153	55	333	240	67.4	184	1087	85.4	0.4	4	7.5	3.8	82	194	7.5	7.5	138	1109	8.5	108	class1
202	69	389	168	72.1	272	1240	78.3	0.3	6	7.8	3.5	92	302	7.8	7.6	179	1381	1	148	class1
243	64.9	464	228	64.7	272	1431	81.8	0.2	7.5	7.8	4.6	88	319	7.6	7.9	198	1606	1.4	177	class1
132	76.5	349	136	74.5	188	1063	69.4	0.4	2	7.8	2.5	98	317	7.8	7.8	95	1139	4.25	123	class1
220	69	374	168	69.9	246	1042	75	0.2	4.6	7.6	3.1	112	299	7.6	7.6	160	1057	3	126	class1
218	66.7	506	204	66	212	1692	81.8	0.2	10.5	7.9	6.7	88	355	8.3	8.2	233	1614	0.7	188	class1
178	70.5	396	176	70.2	188	1265	77.8	0.2	5.5	7.8	4	90	368	8	8	166	1380	2	165	class1
205	67.4	455	184	68.1	188	1224	77.8	0.2	5.5	7.7	4	90	333	8.1	7.9	120	1217	3.5	168	class1
195	75	427	192	74.6	236	1426	80.8	0.4	7	7.7	4.5	104	334	7.7	7.7	208	1375	1	186	class1
152	67.8	353	174	76.5	162	1315	74	0.8	3	7.7	4	100	270	7.8	7.8	196	1322	2	127	class1
210	72	419	186	71.2	208	1310	72.9	1	4.5	7.9	0.4	118	341	8	8.2	194	1333	1.2	157	class1
226	74.1	424	170	71.9	356	1406	78	0.5	4.5	7.7	4	118	352	7.7	7.8	193	1324	1	187	class1
220	68.4	490	190	69.6	224	1392	80.4	0.4	6	8.1	5.2	92	363	8	8.1	206	1505	1.5	178	class1
160	67.9	298	162	68.1	188	1241	74.5	0.7	4.5	7.7	4	110	278	7.7	7.7	192	1243	2	118	class1
230	65.5	518	220	71.3	202	1617	81.6	0.2	4	7.8	5.5	76	364	7.9	7.8	232	1593	1	155	class1
225	74.2	466	186	81.8	176	1220	87.2	0.2	4	7.5	4.5	94	314	7.5	7.6	199	1208	1.2	139	class1
204	70.8	374	192	71.1	184	1494	82	0.5	4.5	7.7	6.5	100	259	7.8	7.9	190	1462	3.5	121	class1
199	74	431	200	78.3	184	1302	75	0.4	4.7	7.6	5	96	269	7.7	7.8	202	1307	3.5	124	class1
232	68.9	526	212	75	240	1542	83	0.2	5.5	7.8	4.5	106	411	7.8	7.8	227	1583	4.5	172	class1
184	67.1	401	158	69.8	172	1292	74.5	0.7	3.5	7.8	4	102	345	7.8	7.8	170	1413	1.7	167	class1
180	69.7	338	132	68.8	160	1332	72.3	0.6	2.5	7.7	2.7	94	319	7.7	7.7	155	1366	1.75	152	class1
145	77.8	345	162	73.5	166	1432	85.1	0.5	3.8	7.6	3.2	94	302	7.6	7.7	148	1415	1	137	class1
200	68.4	420	158	68.8	160	1260	70.9	1	3.5	7.8	2.5	110	376	7.7	7.7	179	1256	4.5	183	class1
174	60.6	416	188	69.9	166	1301	69.8	0.4	3.5	7.6	4.5	106	368	7.6	7.6	178	1267	2	164	class1
228	45.2	583	504	42.2	436	1016	68.4	0.5	7.5	7.5	7.3	76	236	7.5	7.5	246	1079	3.5	85	class1
206	49.3	476	300	50.8	252	1636	72.2	1.3	3.5	7.9	3.7	108	394	8	8.1	202	1579	10	186	class1
231	58.1	407	172	54.8	248	1379	72.2	0.7	4.6	8	2.5	108	379	8	8.1	177	1454	2	188	class1
183	51.9	381	216	56.4	220	1415	78.9	0.2	3.5	7.7	3.5	76	246	7.8	7.8	198	1453	1.2	123	class1
144	58.5	281	164	53.1	192	1075	70.5	0.4	2.5	7.8	2.3	88	233	7.8	7.8	161	1068	1.2	118	class1
158	62.5	336	192	56.5	184	1320	63	0.3	4	7.6	5.5	92	198	7.8	7.3	156	1327	2	79	class1
234	25.5	457	1004	25.4	1384	1218	65.7	0.3	35	7.7	24	140	323	7.8	7.9	189	1257	1	156	class2
233	61.9	500	252	49.4	348	1512	68.6	0.3	7.5	7.8	4.7	102	327	7.8	7.9	215	1427	1	147	class1
224	65.6	578	256	53.6	276	1510	64.7	0.3	6.5	7.7	5.5	102	319	7.6	7.6	225	1486	1	119	class1
352	54.5	533	264	46.5	344	1361	51.3	1.5	6.5	7.5	5.5	160	361	7.4	7.4	316	1453	1.5	190	class1
361	58.9	504	292	51.1	352	1109	65.6	0.8	7	7.8	6.5	128	256	7.8	7.8	238	1113	0.6	147	class1
297	35.9	324	362	32.8	804	1093	53.2	0.6	13	7.9	5	124	204	7.7	8	125	1086	2	84	class1
416	53.4	404	232	43.4	544	1310	61.4	0.4	11	7.7	5	114	299	7.8	7.8	199	1366	1.2	143	class1
160	22.8	259	456	26.7	584	1007	47.6	0.5	7.5	7.6	4	126	176	7.6	7.7	138	1039	3	101	class1
245	52.8	396	216	47.6	328	1282	56.7	0.3	5	7.7	3	120	244	7.8	7.7	198	1321	1.5	109	class1
364	63.6	465	214	50.5	388	1308	70	0.4	7.5	7.7	5.5	100	261	7.6	7.5	319	1344	1	143	class1
259	62.7	444	236	50	440	1400	59	0.3	10	7.6	4.9	122	246	7.7	7.6	236	1439	6	140	class1
269	57.3	433	300	50.5	436	1395	68.5	0.3	11.5	7.9	7	108	294	7.9	7.9	192	1335	8	138	class1
265	53.7	488	268	57.5	348	1212	79.5	0.2	8.5	7.7	5.8	88	306	7.9	7.7	211	1274	8	151	class1
188	64.1	402	184	63.3	218	1127	77.8	0.2	3	7.5	2.8	90	233	7.5	7.5	200	1140	1.2	122	class1
212	31.5	667	1016	36.4	572	1478	57.4	0.2	12.5	7.9	22	108	210	7.8	7.7	257	1422	7	135	class1
198	65.5	456	232	55.6	216	1262	57.1	0.2	4.5	7.9	5	84	266	7.8	7.8	183	1247	1.2	107	class1
196	62.5	380	192	55.6	216	1339	70.6	0.1	6	7.8	4.5	68	270	7.8	7.9	183	1403	0.7	128	class1
210	61	372	164	64.6	192	1623	72.9	0.1	3	7.8	3	74	278	7.8	7.7	185	1508	0.8	124	class1
292	67.9	436	218	67.2	238	1095	80	0.2	5.5	7.5	6	80	284	7.6	7.6	285	1149	1	160	class1
213	60.4	588	328	60.3	272	1392	70.7	0.8	6.5	7.8	7	116	344	7.7	7.7	257	1432	3	174	class1
328	66.1	467	224	62.8	312	1409	77.3	0.2	9.5	7.9	6.5	88	338	7.9	7.9	268	1376	1.2	152	class1
213	67.4	357	172	62.3	212	1160	80	0.3	5.5	7.7	4	80	255	7.7	7.8	189	1232	1.4	123	class1
211	61.8	388	204	64.5	214	1026	76.7	0.2	5	7.5	4	86	222	7.5	7.5	312	1020	3	111	class1
291	54.4	299	180	65.4	324	1615	60.4	0.2	3.5	7.9	2.5	96	265	8	8.1	243	1630	1.5	166	class1
258	61	447	164	53.1	256	1177	69.8	0.2	5	7.9	5.5	86	285	7.7	7.7	215	1207	0.8	141	class1
226	62.5	356	192	55.6	288	1434	71.4	0.1	10	7.7	7	84	257	7.9	7.9	191	1427	1.2	130	class1
190	59.3	274	162	58.4	178	937	76.9	0.1	2.8	7.8	3	78	212	7.9	7.9	283	944	1.2	117	class1
429	61.3	529	248	65.5	220	1179	63.8	1.5	5	7.8	6.3	138	337	8	8	216	1294	0.6	140	class1
319	57.4	468	202	58.9	292	1525	55.7	0.2	7	7.8	4.5	230	353	8	7.8	163	1587	0.7	146	class1
409	65.7	532	210	58.9	224	1535	65.3	0.2	6	7.8	5	98	360	7.6	7.7	431	1561	0.8	210	class1
182	63.5	404	192	61	210	1056	76.9	0.4	4.5	7.7	3.5	104	243	7.7	7.8	174	1064	1.5	140	class1
287	57.6	376	184	45.8	236	1226	73.8	0.2	3.5	7.8	4	84	255	7.7	7.7	327	1223	2	102	class1
163	30.4	238	316	29.1	344	1079	63	0.2	4	7.6	3	92	214	7.7	7.6	184	1113	1	122	class1
182	32.9	234	292	32.6	344	1140	52	0.3	4	7.9	3	100	218	7.8	7.8	159	1125	3	111	class1
